Scheda uscita dati, Administrator: 
Nome operatore: 
Nome giocatore: Pino,Data: 17/05/2018,Orario: 20:13:38
Gioco: Bubble
Tempo di gioco,Bolle presentate in totale,Frequenza di comparsa della bolla,Contrasto,Persistenza bolla,Bolle presentate in alto a sinistra,Bolle presentate in alto al centro,Bolle presentate in alto a destra,Bolle presentate in basso a sinistra,Bolle presentate in basso al centro,Bolle presentate in basso a destra,Bolle colpite con la mano dx,Bolle colpite con la mano sx,Bolle colpite con il piede dx,Bolle colpite con il piede sx
60,29,2,1,3,3,5,11,4,3,5,0,0,0,0
Numero bolla, Tempo che intercorre tra la comparsa e lo scoppio della bolla
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
